LUC,GCM,RCP,Mean,Lower,Upper
BAU,CanESM2,rcp45,-324.2,-365.6,-276.9
BAU,CanESM2,rcp85,-250.6,-318.6,-176.4
BAU,CNRM-CM5,rcp45,-78.4,-116.6,-38.7
BAU,CNRM-CM5,rcp85,-174.3,-238.7,-126.2
BAU,HadGEM2-ES,rcp45,-615,-653.8,-570.3
BAU,HadGEM2-ES,rcp85,-881,-926.5,-838.6
BAU,MIROC5,rcp45,-707.8,-754.8,-663.1
BAU,MIROC5,rcp85,-802.5,-867.8,-753
High,CanESM2,rcp45,-369.3,-405,-334.5
High,CanESM2,rcp85,-296.1,-352,-237.4
High,CNRM-CM5,rcp45,-119.1,-163,-73.8
High,CNRM-CM5,rcp85,-222.2,-278.9,-176.5
High,HadGEM2-ES,rcp45,-657.2,-704.6,-612.9
High,HadGEM2-ES,rcp85,-916.2,-955,-865.3
High,MIROC5,rcp45,-746.6,-780.1,-714.6
High,MIROC5,rcp85,-846.9,-890.7,-797.8
Low,CanESM2,rcp45,-151.8,-196.4,-110.8
Low,CanESM2,rcp85,-74.6,-141.9,5.4
Low,CNRM-CM5,rcp45,121.2,76.9,164.6
Low,CNRM-CM5,rcp85,14.8,-37.9,69.3
Low,HadGEM2-ES,rcp45,-447,-492.2,-396.6
Low,HadGEM2-ES,rcp85,-723,-771.4,-672.7
Low,MIROC5,rcp45,-539.7,-577.4,-502.1
Low,MIROC5,rcp85,-651.2,-706.6,-598.7
Medium,CanESM2,rcp45,-270,-307.3,-231.1
Medium,CanESM2,rcp85,-188.3,-245.8,-109.3
Medium,CNRM-CM5,rcp45,-4.7,-55.2,43.9
Medium,CNRM-CM5,rcp85,-108.8,-161.4,-67.6
Medium,HadGEM2-ES,rcp45,-561.1,-602.3,-509.1
Medium,HadGEM2-ES,rcp85,-828.9,-879.1,-783.5
Medium,MIROC5,rcp45,-654.3,-693.6,-613.5
Medium,MIROC5,rcp85,-758.7,-812.9,-710.4
