Timestep,Mean,Lower,Upper
2002,-27.3,-27.8,-26.9
2003,-6.3,-6.7,-5.8
2004,7.2,6.8,7.7
2005,38.6,38.1,39.1
2006,4.5,4,5
2007,-50.1,-50.5,-49.5
2008,-28.7,-29.4,-28.1
2009,-19.2,-19.9,-18.6
2010,60.1,59.5,60.8
2011,-4.1,-4.8,-3.5
2012,-6.2,-6.9,-5.4
2013,-89.8,-92.9,-87
2014,-22.5,-25.5,-19.6
2015,-44.6,-47.5,-41.6
2016,18.4,-29.7,52.4
2017,-24.4,-72.1,21.9
2018,1.3,-35.7,37.5
2019,17.9,-39.8,46.7
2020,2.7,-46.2,59.6
2021,-1.3,-48.1,25.9
2022,-6.9,-59.7,65.1
2023,-8.7,-39.3,25.9
2024,12.9,-32,64.8
2025,15.6,-18.5,45
2026,6.6,-13,27.7
2027,-16.2,-76.5,30
2028,-13.7,-38.1,39.8
2029,-1.4,-44.5,48.8
2030,8.2,-50.8,42.1
2031,-7,-32.7,26.8
2032,13.1,-48.5,47.5
2033,-11.4,-40.2,40.5
2034,-19.2,-56.7,16.6
2035,-22.2,-54.7,7.2
2036,7.2,-27.4,40.1
2037,-4.3,-60.8,52
2038,0.8,-37.2,81.1
2039,11.3,-25.5,50.6
2040,-1.6,-62.3,37.5
2041,6.8,-38.4,49.3
2042,-2.3,-32.5,32.9
2043,16.5,-40.3,56.8
2044,-17.3,-60.6,15
2045,13.3,-24.8,44
2046,-24.4,-60.2,27.6
2047,-23.8,-66.5,21.6
2048,-9.8,-31.8,15.6
2049,-5.8,-46.4,65.1
2050,-1.4,-63.5,53.8
2051,1.3,-24.7,53.7
2052,-22.6,-46.8,26.9
2053,-15.3,-49.6,22.1
2054,-9.5,-53.4,31.8
2055,25.9,-38.6,53.4
2056,18.2,-45.3,54.1
2057,-31,-63.9,-2
2058,-27.5,-76.7,43.4
2059,-12.7,-62.3,68.6
2060,-8.8,-46,46.3
2061,-5.3,-72.3,36.2
2062,-17,-60.7,30.7
2063,-13,-73.2,44.7
2064,-10.4,-56.8,33.9
2065,-0.6,-20.4,76.7
2066,-16.8,-74.5,31.7
2067,-5.3,-54,44.2
2068,8.1,-70.6,68.9
2069,-19.6,-73.9,13.1
2070,4.4,-10.9,28.3
2071,5.1,-25.4,36.2
2072,-21.8,-58.5,30.1
2073,-25.4,-67.6,16.6
2074,-0.3,-45.6,73.6
2075,5.4,-32,35.5
2076,-16.6,-50.6,7.4
2077,13.1,-16.2,61.4
2078,2.9,-31.8,62.7
2079,-14.8,-52.8,27.7
2080,-5.4,-58.2,63.3
2081,-18,-73.4,60
2082,2.7,-48.1,54
2083,-16.6,-77.8,46.8
2084,-10.1,-54.2,60.1
2085,-6.4,-52.5,37.2
2086,-11.4,-42.2,17.5
2087,6.8,-74.4,66.7
2088,6.9,-49.1,71
2089,12.8,-36.1,76.3
2090,-9.4,-66.1,40.3
2091,-20.3,-43.6,3.2
2092,-22.3,-67.3,49.8
2093,-18.2,-51.3,31.4
2094,-1.9,-39.6,52.8
2095,-6.1,-49.8,48.3
2096,-36.5,-101.1,0.2
2097,3.3,-17,18.5
2098,4.8,-34,44.3
2099,-4.1,-55.7,52.1
2100,-2.1,-33.4,44.3
2101,-1.5,-31,40.4
