LUC,GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,High,0.001363884,2100,418.9804086763931,378.6589415500339,456.8198465779087
BAU,CanESM2,rcp45,Low,2.72777e-4,2100,-133.35641132655456,-160.38452931425945,-99.10817066159325
BAU,CanESM2,rcp45,MedHigh,0.001091107,2100,285.9388985329569,242.51196822020574,335.4695255338729
BAU,CanESM2,rcp45,Medium,8.18331e-4,2100,147.29160701361025,124.24832839714509,189.89685158301108
BAU,CanESM2,rcp45,MedLow,5.45554e-4,2100,4.470119412718304,-21.94335003064498,30.183282944622988
BAU,CanESM2,rcp85,High,0.001363884,2100,1868.33057675976,1842.4819405526923,1926.3466898049574
BAU,CanESM2,rcp85,Low,2.72777e-4,2100,280.75351339544187,235.42624839343807,313.1151232668981
BAU,CanESM2,rcp85,MedHigh,0.001091107,2100,1477.2790868467318,1442.7006292446713,1522.1913027484497
BAU,CanESM2,rcp85,Medium,8.18331e-4,2100,1071.964073393972,1038.5241295822152,1101.220662501004
BAU,CanESM2,rcp85,MedLow,5.45554e-4,2100,687.236970615865,659.2186483849528,712.6473048020862
BAU,CanESM2,rcp85-600,High,0.001363884,2100,855.7733119641965,822.0728720731722,900.29221912503
BAU,CanESM2,rcp85-600,Low,2.72777e-4,2100,7.211126177654933,-33.110607125241586,33.51573945151176
BAU,CanESM2,rcp85-600,MedHigh,0.001091107,2100,645.0348865561975,604.78332473705,668.6080173222472
BAU,CanESM2,rcp85-600,Medium,8.18331e-4,2100,431.9234525799442,390.97535512358627,468.1390420344269
BAU,CanESM2,rcp85-600,MedLow,5.45554e-4,2100,216.98889139832576,179.50618293924617,248.63818023112435
BAU,CanESM2,rcp45,No CFE,0,NA,-275.5939,-305.5602,-248.6395
BAU,CanESM2,rcp85,No CFE,0,NA,-199.7455,-229.15120000000002,-171.3558
BAU,CanESM2,rcp85-600,No CFE,0,NA,-199.7455,-229.15120000000002,-171.3558
