Timestep,Flux,Mean,Lower,Upper,Source
2002,NPP,136.2,136.2,136.2,LUCAS
2003,NPP,155.9,155.8,155.9,LUCAS
2004,NPP,165.6,165.5,165.7,LUCAS
2005,NPP,198.2,198,198.3,LUCAS
2006,NPP,168.6,168.5,168.8,LUCAS
2007,NPP,108.2,108.1,108.3,LUCAS
2008,NPP,138.5,138.4,138.6,LUCAS
2009,NPP,132.6,132.4,132.7,LUCAS
2010,NPP,209.4,209.1,209.6,LUCAS
2011,NPP,144.4,144.2,144.6,LUCAS
2012,NPP,155.9,155.7,156.1,LUCAS
2013,NPP,63.7,63.6,63.8,LUCAS
2014,NPP,142.4,142.1,142.7,LUCAS
2015,NPP,113.1,112.9,113.4,LUCAS
2000,NPP,182.46376244129803,NA,NA,MODIS
2001,NPP,171.56163834673322,NA,NA,MODIS
2002,NPP,163.33060269642866,NA,NA,MODIS
2003,NPP,169.98635910333329,NA,NA,MODIS
2004,NPP,187.24771835251198,NA,NA,MODIS
2005,NPP,189.92686203949336,NA,NA,MODIS
2006,NPP,167.70473845427423,NA,NA,MODIS
2007,NPP,168.38752069121554,NA,NA,MODIS
2008,NPP,156.6860151316432,NA,NA,MODIS
2009,NPP,166.13620150525233,NA,NA,MODIS
2010,NPP,176.1490521112604,NA,NA,MODIS
2011,NPP,181.01925228123315,NA,NA,MODIS
2012,NPP,161.2029992190232,NA,NA,MODIS
2013,NPP,165.14048921424617,NA,NA,MODIS
2014,NPP,159.45306294274175,NA,NA,MODIS
2015,NPP,171.318794422753,NA,NA,MODIS
